,구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
0,2016.0,59660.0,57167.0,56673.0,55250.0,50570.0,62057.0,64590.0,60255.0,63242.0,76870.0,73309.0,59276.0,61655.0
1,2017.0,56320.0,56920.0,57818.0,59010.0,65958.0,81410.0,77705.0,64709.0,60476.0,60563.0,61664.0,60516.0,63706.0
2,2018.0,60309.0,60556.0,59229.0,54924.0,51050.0,67589.0,86327.0,77227.0,70000.0,72267.0,66100.0,64042.0,65967.0
3,2019.0,62873.0,59706.0,51370.0,46627.0,46981.0,78147.0,78078.0,46819.0,55495.0,67752.0,53552.0,52050.0,58311.0
4,2020.0,57120.0,52690.0,51368.0,47490.0,48726.0,61365.0,58779.0,53087.0,50987.0,52527.0,55614.0,47010.0,53183.0
5,2021.0,53369.0,65171.0,64302.0,48558.0,56832.0,70095.0,74813.0,69764.0,0.0,0.0,0.0,0.0,62555.0
