,구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
0,2016.0,46870.0,80789.0,49082.0,42500.0,43240.0,34819.0,47943.0,62073.0,82126.0,47240.0,65245.0,53781.0,54308.0
1,2017.0,68880.0,60010.0,53800.0,51450.0,48716.0,40076.0,44990.0,47764.0,61048.0,33663.0,37682.0,30895.0,48518.0
2,2018.0,53345.0,84022.0,58571.0,40771.0,41200.0,36842.0,49087.0,53500.0,67471.0,41400.0,35791.0,31095.0,48966.0
3,2019.0,40891.0,61941.0,68650.0,39827.0,44000.0,39211.0,41304.0,58352.0,57442.0,50629.0,50343.0,34540.0,48572.0
4,2020.0,65250.0,84035.0,62178.0,47785.0,40602.0,42578.0,45886.0,51334.0,92749.0,63283.0,49019.0,30745.0,56148.0
5,2021.0,51680.0,115742.0,79347.0,54631.0,47425.0,54930.0,56784.0,47013.0,0.0,0.0,0.0,0.0,63721.0
