,구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
0,2016.0,18210.0,15100.0,14695.0,12890.0,12580.0,11229.0,12829.0,17282.0,12189.0,9350.0,11118.0,13210.0,13393.0
1,2017.0,10970.0,14950.0,15345.0,13206.0,14895.0,12595.0,12619.0,14247.0,10105.0,8513.0,7518.0,7347.0,11932.0
2,2018.0,8623.0,14511.0,15638.0,15981.0,14980.0,12284.0,13455.0,21309.0,17471.0,14086.0,10800.0,13526.0,14345.0
3,2019.0,19300.0,16400.0,13270.0,13945.0,14614.0,11526.0,14535.0,14167.0,10558.0,11786.0,13976.0,15460.0,14163.0
4,2020.0,15070.0,16153.0,15875.0,14150.0,12916.0,13342.0,14515.0,17295.0,17727.0,6902.0,5913.0,6469.0,13060.0
5,2021.0,5559.0,9729.0,16860.0,15662.0,12879.0,11422.0,16288.0,18742.0,0.0,0.0,0.0,0.0,13220.0
