,구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
0,2016.0,40840.0,29844.0,22336.0,20240.0,13890.0,12133.0,10210.0,16855.0,22874.0,23310.0,19336.0,21541.0,20921.0
1,2017.0,25480.0,28050.0,22127.0,16650.0,13937.0,11019.0,10181.0,20582.0,31914.0,20575.0,14191.0,16832.0,19278.0
2,2018.0,26918.0,32600.0,26438.0,22029.0,18740.0,13895.0,11640.0,27045.0,35788.0,29619.0,20545.0,14874.0,23163.0
3,2019.0,29991.0,25118.0,18800.0,17664.0,13519.0,13568.0,8591.0,15867.0,36453.0,21467.0,16867.0,15540.0,19237.0
4,2020.0,30893.0,31294.0,29407.0,20110.0,13295.0,12076.0,13710.0,28116.0,45925.0,31992.0,20040.0,20030.0,24607.0
5,2021.0,33727.0,32908.0,31941.0,23674.0,19543.0,17008.0,16579.0,13502.0,0.0,0.0,0.0,0.0,24033.0
