,구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
0,2016.0,24060.0,26856.0,33518.0,26960.0,14000.0,10429.0,12210.0,14800.0,25516.0,32020.0,25436.0,35181.0,23357.0
1,2017.0,31530.0,32240.0,27000.0,20780.0,16800.0,13657.0,11781.0,25400.0,34143.0,22213.0,20145.0,18295.0,22882.0
2,2018.0,17473.0,18889.0,20333.0,23190.0,18840.0,15558.0,16800.0,16091.0,38776.0,37048.0,28564.0,25600.0,22895.0
3,2019.0,24700.0,23765.0,27178.0,23618.0,14681.0,13379.0,13061.0,15581.0,21874.0,24905.0,28571.0,26850.0,21448.0
4,2020.0,28280.0,32580.0,39598.0,36880.0,19532.0,13655.0,19734.0,25200.0,45769.0,45664.0,31240.0,26031.0,30189.0
5,2021.0,31760.0,28074.0,33399.0,29999.0,18760.0,16106.0,19799.0,15229.0,0.0,0.0,0.0,0.0,24674.0
