,구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
0,2016.0,46550.0,35844.0,27809.0,25130.0,18180.0,16133.0,13724.0,20482.0,27368.0,27840.0,23891.0,26152.0,25542.0
1,2017.0,30370.0,33000.0,26882.0,21070.0,18337.0,15305.0,14581.0,25182.0,36905.0,25375.0,18845.0,21411.0,23920.0
2,2018.0,31518.0,37244.0,31019.0,26631.0,23140.0,18032.0,15658.0,31200.0,40129.0,34086.0,24891.0,19000.0,27530.0
3,2019.0,34418.0,29988.0,23550.0,22355.0,18210.0,18068.0,13083.0,20695.0,41579.0,26229.0,21476.0,20350.0,23942.0
4,2020.0,35670.0,36054.0,33984.0,24730.0,17263.0,15731.0,16935.0,32198.0,49826.0,35242.0,23173.0,23154.0,28521.0
5,2021.0,36987.0,36158.0,35530.0,26824.0,22591.0,20155.0,19859.0,17138.0,0.0,0.0,0.0,0.0,27310.0
