,구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
0,2016.0,3278.0,5688.0,3365.0,2185.0,2310.0,3221.0,3673.0,4117.0,3523.0,3377.0,5282.0,4291.0,3691.0
1,2017.0,4277.0,5267.0,3454.0,1930.0,1583.0,2039.0,2630.0,2896.0,2606.0,1914.0,1816.0,1673.0,2693.0
2,2018.0,2257.0,2884.0,1890.0,1497.0,2410.0,2584.0,3314.0,3892.0,3414.0,2984.0,2611.0,2103.0,2650.0
3,2019.0,3111.0,3204.0,2095.0,1916.0,2935.0,4629.0,3857.0,2677.0,3138.0,3610.0,3067.0,2561.0,3059.0
4,2020.0,3530.0,3282.0,2023.0,2931.0,3563.0,4580.0,5167.0,7110.0,8290.0,3749.0,5032.0,5354.0,4566.0
5,2021.0,10753.0,6740.0,3575.0,3158.0,4175.0,4212.0,4440.0,5613.0,0.0,0.0,0.0,0.0,5230.0
