,구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
0,2016.0,5225.0,6756.0,7327.0,10413.0,12265.0,6781.0,5943.0,6009.0,9337.0,10540.0,14064.0,15000.0,9158.0
1,2017.0,13570.0,13060.0,10855.0,5315.0,4263.0,3696.0,4605.0,10605.0,11476.0,8444.0,7418.0,7789.0,8451.0
2,2018.0,8226.0,7939.0,7110.0,5957.0,5565.0,4751.0,7676.0,16239.0,10659.0,9933.0,7564.0,6284.0,8203.0
3,2019.0,5598.0,4820.0,4505.0,4205.0,5559.0,5411.0,5557.0,4657.0,4200.0,6910.0,9562.0,11335.0,6038.0
4,2020.0,12960.0,11840.0,10998.0,14700.0,9426.0,5166.0,5385.0,9079.0,13033.0,17068.0,12744.0,7646.0,10711.0
5,2021.0,11499.0,8630.0,5858.0,4972.0,6082.0,5340.0,6388.0,7541.0,0.0,0.0,0.0,0.0,6924.0
