,구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
0,2016.0,7151.0,5668.0,6083.0,5626.0,5370.0,4278.0,5822.0,6393.0,6391.0,4880.0,5020.0,4884.0,5624.0
1,2017.0,4204.0,4622.0,5239.0,3324.0,3187.0,3355.0,4971.0,6705.0,5345.0,4250.0,5062.0,6244.0,4738.0
2,2018.0,6729.0,6839.0,6571.0,5781.0,4680.0,4135.0,6527.0,8145.0,7594.0,4324.0,4300.0,4600.0,5850.0
3,2019.0,4877.0,5247.0,5090.0,4750.0,4519.0,4526.0,5435.0,7467.0,6416.0,7362.0,4419.0,4445.0,5381.0
4,2020.0,4698.0,5020.0,6692.0,5185.0,5011.0,6049.0,6276.0,10413.0,8696.0,4494.0,3218.0,4647.0,5884.0
5,2021.0,7140.0,8561.0,8479.0,7040.0,6625.0,7198.0,8962.0,9203.0,0.0,0.0,0.0,0.0,7827.0
