,구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
0,2016.0,8190.0,9656.0,7827.0,7910.0,9570.0,9895.0,14667.0,43491.0,29137.0,12440.0,10627.0,8095.0,14383.0
1,2017.0,7170.0,6470.0,6136.0,6600.0,6474.0,7781.0,19181.0,34700.0,17257.0,8288.0,7927.0,8368.0,11608.0
2,2018.0,9191.0,12222.0,8200.0,10157.0,8010.0,8461.0,19409.0,56436.0,39553.0,11152.0,7645.0,6000.0,16336.0
3,2019.0,6582.0,6424.0,5380.0,6536.0,6888.0,8547.0,13939.0,34495.0,28389.0,14962.0,7057.0,6990.0,12191.0
4,2020.0,6415.0,6495.0,7674.0,7930.0,7716.0,11608.0,17763.0,34960.0,39191.0,9065.0,6761.0,7012.0,13628.0
5,2021.0,12351.0,10580.0,8251.0,10029.0,12099.0,13505.0,23524.0,46900.0,0.0,0.0,0.0,0.0,15385.0
