,구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
0,2016.0,27360.0,28722.0,21309.0,10860.0,8410.0,9886.0,11127.0,13882.0,25621.0,19150.0,16018.0,16971.0,17251.0
1,2017.0,25150.0,17300.0,13436.0,9090.0,7558.0,8371.0,16819.0,27173.0,22848.0,10650.0,9855.0,15242.0,15446.0
2,2018.0,26464.0,28011.0,25781.0,15267.0,15010.0,9489.0,8864.0,18132.0,28859.0,13676.0,20709.0,19821.0,18987.0
3,2019.0,21300.0,17082.0,13910.0,8882.0,9271.0,10932.0,10004.0,19552.0,20116.0,15038.0,10914.0,16620.0,14371.0
4,2020.0,28068.0,27168.0,23077.0,11090.0,11032.0,11661.0,14521.0,38574.0,29971.0,11151.0,12810.0,20986.0,19987.0
5,2021.0,33174.0,30893.0,24295.0,14528.0,16494.0,13503.0,8973.0,16012.0,0.0,0.0,0.0,0.0,19600.0
