,구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
0,2016.0,28110.0,31200.0,37582.0,31030.0,17620.0,13819.0,15762.0,18500.0,30337.0,37020.0,30091.0,39810.0,27507.0
1,2017.0,36010.0,36650.0,31564.0,25200.0,21211.0,17867.0,15390.0,29882.0,38762.0,26650.0,24664.0,22926.0,27280.0
2,2018.0,22155.0,24033.0,25333.0,27810.0,23110.0,19632.0,21427.0,20955.0,43929.0,42133.0,33509.0,30474.0,27670.0
3,2019.0,29473.0,28729.0,32116.0,28618.0,19448.0,18005.0,17522.0,20457.0,26895.0,29448.0,33352.0,31580.0,26233.0
4,2020.0,32818.0,37190.0,43750.0,42140.0,23679.0,17539.0,23860.0,29638.0,50354.0,50018.0,35261.0,29929.0,34514.0
5,2021.0,35800.0,31872.0,37230.0,34081.0,22631.0,19586.0,23439.0,18929.0,0.0,0.0,0.0,0.0,28483.0
