,구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
0,2016.0,40270.0,72789.0,41855.0,37200.0,36350.0,28876.0,42390.0,54709.0,72600.0,40740.0,57791.0,47210.0,47417.0
1,2017.0,61680.0,52560.0,47936.0,45900.0,43663.0,34076.0,38295.0,40400.0,53600.0,27638.0,32273.0,25695.0,42229.0
2,2018.0,48027.0,77400.0,52867.0,35286.0,35780.0,31526.0,43273.0,46636.0,62035.0,36610.0,30991.0,26095.0,43420.0
3,2019.0,35791.0,56518.0,62650.0,33891.0,37533.0,33768.0,36287.0,52610.0,51242.0,44600.0,44143.0,28110.0,42746.0
4,2020.0,58543.0,77535.0,55770.0,41005.0,34413.0,36229.0,39545.0,44800.0,86232.0,55998.0,41227.0,23012.0,49391.0
5,2021.0,43890.0,101457.0,65605.0,44156.0,40180.0,48058.0,49740.0,40360.0,0.0,0.0,0.0,0.0,54344.0
