,구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
0,2016.0,64250.0,62689.0,50200.0,32290.0,23520.0,25343.0,16705.0,23918.0,43611.0,31500.0,31009.0,22467.0,35186.0
1,2017.0,38480.0,45290.0,27664.0,15830.0,22811.0,26190.0,18133.0,47082.0,62114.0,17613.0,18091.0,17421.0,30106.0
2,2018.0,43791.0,64089.0,34000.0,32333.0,20605.0,19979.0,14373.0,24582.0,49129.0,28267.0,26873.0,34000.0,32068.0
3,2019.0,66327.0,50682.0,44000.0,24900.0,29138.0,31621.0,17574.0,42733.0,66326.0,28790.0,25410.0,25100.0,37249.0
4,2020.0,56733.0,77990.0,37159.0,17130.0,18768.0,28755.0,23903.0,33566.0,89010.0,47374.0,23540.0,24870.0,39721.0
5,2021.0,52280.0,89157.0,61976.0,29745.0,20853.0,36341.0,18048.0,14823.0,0.0,0.0,0.0,0.0,41180.0
