,구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
0,2016.0,58033.0,74000.0,56594.0,32333.0,17467.0,21048.0,31873.0,62212.0,56000.0,42767.0,41636.0,50349.0,45148.0
1,2017.0,70200.0,50467.0,36182.0,22130.0,17158.0,21873.0,58000.0,71212.0,46381.0,35500.0,32667.0,40561.0,42195.0
2,2018.0,56682.0,51519.0,46873.0,32286.0,31100.0,24649.0,36821.0,50605.0,56392.0,37984.0,36879.0,55754.0,42940.0
3,2019.0,61364.0,58373.0,47877.0,29591.0,25708.0,23825.0,39377.0,56524.0,45140.0,42524.0,51762.0,59633.0,44985.0
4,2020.0,82650.0,67467.0,49909.0,30433.0,27596.0,31753.0,43913.0,78688.0,81030.0,27175.0,32343.0,54921.0,50670.0
5,2021.0,68517.0,66715.0,52924.0,32438.0,35142.0,30221.0,40774.0,56518.0,0.0,0.0,0.0,0.0,46798.0
