,구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
0,2016.0,102300.0,111933.0,58518.0,34600.0,30825.0,39505.0,42752.0,38818.0,67926.0,36820.0,45400.0,35838.0,52913.0
1,2017.0,40880.0,30250.0,24855.0,22260.0,30147.0,38676.0,48829.0,51682.0,59362.0,28725.0,32536.0,26042.0,36538.0
2,2018.0,45173.0,75644.0,45429.0,32429.0,30430.0,35768.0,42173.0,37118.0,64294.0,40390.0,39318.0,43484.0,43670.0
3,2019.0,67505.0,84753.0,67930.0,29691.0,33152.0,35674.0,42870.0,46648.0,44695.0,42990.0,51486.0,48220.0,49085.0
4,2020.0,74220.0,107208.0,67870.0,32260.0,31926.0,33725.0,42916.0,55424.0,94015.0,58428.0,38398.0,32220.0,55558.0
5,2021.0,63131.0,96703.0,59229.0,32149.0,32458.0,49364.0,45992.0,31742.0,0.0,0.0,0.0,0.0,51777.0
