,구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
0,2016.0,3747.0,6338.0,3868.0,2590.0,2667.0,3630.0,4147.0,4654.0,3981.0,3853.0,5810.0,4890.0,4180.0
1,2017.0,4833.0,5785.0,3925.0,2379.0,1963.0,2437.0,3119.0,3415.0,3095.0,2354.0,2253.0,2093.0,3158.0
2,2018.0,2677.0,3304.0,2320.0,1946.0,2882.0,3103.0,3866.0,4396.0,3992.0,3459.0,3063.0,2549.0,3126.0
3,2019.0,3565.0,3659.0,2536.0,2354.0,3632.0,5582.0,4793.0,3563.0,4092.0,4429.0,3747.0,3271.0,3762.0
4,2020.0,4163.0,3939.0,2660.0,3490.0,4165.0,5348.0,6128.0,8515.0,9776.0,4880.0,6051.0,6307.0,5467.0
5,2021.0,12401.0,7943.0,4435.0,3977.0,4988.0,4912.0,5120.0,6313.0,0.0,0.0,0.0,0.0,6160.0
