,구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
0,2016.0,51945.0,77892.0,59727.0,36135.0,33848.0,21014.0,30629.0,55520.0,73484.0,43665.0,59577.0,49371.0,49096.0
1,2017.0,50295.0,51030.0,50359.0,42225.0,30079.0,19357.0,20836.0,37295.0,43200.0,45216.0,53652.0,54616.0,41414.0
2,2018.0,55307.0,68567.0,59962.0,52267.0,37950.0,23954.0,20936.0,81300.0,120129.0,57238.0,63655.0,61800.0,57745.0
3,2019.0,63373.0,66929.0,61680.0,51464.0,42171.0,27411.0,22661.0,56295.0,74442.0,60314.0,65743.0,59290.0,53882.0
4,2020.0,61870.0,56291.0,55557.0,42220.0,37116.0,27900.0,26718.0,65365.0,84809.0,65141.0,82834.0,72343.0,56242.0
5,2021.0,60791.0,72982.0,60155.0,50167.0,50916.0,41481.0,40231.0,74355.0,0.0,0.0,0.0,0.0,54741.0
