,구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
0,2016.0,21390.0,18517.0,18109.0,16290.0,15820.0,13886.0,15238.0,19927.0,15274.0,12340.0,13864.0,16200.0,16398.0
1,2017.0,13970.0,17955.0,18345.0,16220.0,17821.0,15462.0,15695.0,17791.0,13371.0,11275.0,9718.0,9537.0,14844.0
2,2018.0,10686.0,17100.0,18438.0,18781.0,19210.0,15937.0,16905.0,25133.0,22212.0,17610.0,13927.0,16653.0,17650.0
3,2019.0,22445.0,19659.0,16620.0,17145.0,18462.0,15084.0,17700.0,17105.0,15021.0,16210.0,17924.0,19090.0,17733.0
4,2020.0,18870.0,19663.0,18845.0,17060.0,15789.0,16133.0,16756.0,20384.0,22145.0,9465.0,7647.0,8324.0,15946.0
5,2021.0,7374.0,11768.0,19387.0,18355.0,16215.0,14991.0,19862.0,22542.0,0.0,0.0,0.0,0.0,16105.0
