,구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
0,2016.0,4325.0,5783.0,6318.0,9030.0,10300.0,5005.0,4457.0,4873.0,7895.0,8940.0,12264.0,13000.0,7698.0
1,2017.0,11179.0,10660.0,8455.0,3545.0,3342.0,2796.0,3648.0,9286.0,9848.0,6988.0,6318.0,6689.0,6920.0
2,2018.0,7146.0,6894.0,6110.0,4905.0,4470.0,3803.0,6362.0,13527.0,8106.0,7419.0,5385.0,4432.0,6591.0
3,2019.0,4105.0,3522.0,3455.0,3168.0,4275.0,4105.0,4230.0,3324.0,3116.0,5810.0,7910.0,9465.0,4717.0
4,2020.0,10633.0,9450.0,8805.0,12365.0,7542.0,3654.0,4031.0,7432.0,10978.0,14962.0,10638.0,5818.0,8742.0
5,2021.0,9751.0,7055.0,4589.0,3826.0,4989.0,4286.0,5305.0,6468.0,0.0,0.0,0.0,0.0,5667.0
