,구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
0,2016.0,506000.0,506000.0,506000.0,506000.0,503100.0,509943.0,514457.0,521055.0,509537.0,491760.0,482291.0,480962.0,503027.0
1,2017.0,482200.0,482000.0,485636.0,485600.0,484000.0,490000.0,489619.0,486182.0,486286.0,480000.0,475455.0,474000.0,483547.0
2,2018.0,474000.0,474000.0,472381.0,472000.0,472000.0,472347.0,472055.0,472109.0,469141.0,473105.0,471118.0,472137.0,472230.0
3,2019.0,472600.0,472400.0,472400.0,472482.0,474200.0,473789.0,475513.0,477124.0,475116.0,466743.0,463838.0,457800.0,471189.0
4,2020.0,452600.0,453833.0,460680.0,470920.0,481853.0,487273.0,495765.0,512110.0,629545.0,730724.0,791647.0,840794.0,566885.0
5,2021.0,851667.0,856667.0,879061.0,873818.0,872754.0,887621.0,894636.0,896758.0,0.0,0.0,0.0,0.0,876109.0
