,구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
0,2016.0,274400.0,274400.0,274400.0,274300.0,262650.0,259257.0,256400.0,256400.0,255874.0,233680.0,227136.0,224905.0,255804.0
1,2017.0,221800.0,217000.0,217000.0,217000.0,217000.0,213952.0,213000.0,213000.0,216333.0,248500.0,247545.0,243579.0,223284.0
2,2018.0,235964.0,233989.0,233600.0,233600.0,234440.0,243884.0,248545.0,248600.0,254988.0,304886.0,302327.0,306600.0,256918.0
3,2019.0,311964.0,332165.0,346080.0,350000.0,352667.0,354000.0,354000.0,354000.0,353579.0,353429.0,365714.0,377800.0,350470.0
4,2020.0,383400.0,382088.0,378950.0,396190.0,410221.0,438427.0,450313.0,460680.0,465714.0,442947.0,440000.0,415783.0,422372.0
5,2021.0,402460.0,407422.0,421864.0,434082.0,435326.0,448036.0,464000.0,461773.0,0.0,0.0,0.0,0.0,433520.0
