,구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
0,2016.0,6865.0,8056.0,8255.0,8310.0,6730.0,6295.0,5600.0,5764.0,10421.0,10950.0,10336.0,9429.0,8064.0
1,2017.0,9416.0,7170.0,8091.0,7770.0,6768.0,6343.0,5429.0,6564.0,9105.0,7550.0,6427.0,6568.0,7257.0
2,2018.0,8545.0,9222.0,7886.0,6529.0,5980.0,5012.0,5956.0,9048.0,14812.0,11610.0,10236.0,8642.0,8552.0
3,2019.0,10909.0,8788.0,7270.0,8109.0,7443.0,7389.0,9200.0,9729.0,13116.0,14162.0,11771.0,10860.0,9906.0
4,2020.0,14965.0,10043.0,7877.0,6720.0,7532.0,8441.0,7571.0,7962.0,9934.0,8615.0,7483.0,8447.0,8778.0
5,2021.0,11906.0,12047.0,8964.0,9499.0,8455.0,8907.0,6924.0,9444.0,0.0,0.0,0.0,0.0,9449.0
