,구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
0,2016.0,258000.0,258000.0,258000.0,257900.0,248050.0,245857.0,243000.0,242818.0,241211.0,222450.0,216682.0,213952.0,241866.0
1,2017.0,211450.0,206000.0,206000.0,206000.0,206000.0,202952.0,202000.0,202000.0,205238.0,235175.0,237345.0,233168.0,212295.0
2,2018.0,226600.0,225100.0,224600.0,224600.0,225440.0,233916.0,237936.0,238000.0,244976.0,278988.0,289636.0,295276.0,245490.0
3,2019.0,300386.0,320059.0,329350.0,332500.0,335833.0,337500.0,337500.0,337500.0,336974.0,335357.0,340595.0,350375.0,332811.0
4,2020.0,357750.0,359167.0,360667.0,378988.0,389934.0,411250.0,418641.0,430000.0,436607.0,421118.0,418750.0,385179.0,397541.0
5,2021.0,365667.0,371352.0,390773.0,397667.0,396544.0,415682.0,436000.0,429939.0,0.0,0.0,0.0,0.0,399641.0
