,구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
0,2016.0,4264.0,4322.0,4456.0,5225.0,5393.0,5385.0,5380.0,5380.0,5414.0,5460.0,5520.0,5650.0,5163.0
1,2017.0,6047.0,6196.0,6360.0,6448.0,6647.0,6837.0,6880.0,6984.0,7103.0,7100.0,7159.0,7322.0,6754.0
2,2018.0,7336.0,7321.0,7135.0,6954.0,6760.0,6661.0,6740.0,6740.0,6740.0,6724.0,6764.0,6673.0,6880.0
3,2019.0,6460.0,6440.0,6431.0,6380.0,6380.0,6380.0,6356.0,6340.0,6340.0,6340.0,6340.0,6325.0,6375.0
4,2020.0,6240.0,6258.0,6254.0,6240.0,6240.0,6263.0,6360.0,6372.0,6372.0,6372.0,6310.0,6272.0,6296.0
5,2021.0,6240.0,6240.0,6226.0,6190.0,6190.0,6142.0,6140.0,6140.0,0.0,0.0,0.0,0.0,6190.0
