,구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
0,2016.0,2640.0,2640.0,2640.0,2640.0,2640.0,2636.0,2620.0,2620.0,2630.0,2648.0,2690.0,2716.0,2647.0
1,2017.0,2777.0,2776.0,2783.0,2836.0,2821.0,2816.0,2814.0,2816.0,2795.0,2778.0,2824.0,2840.0,2807.0
2,2018.0,2840.0,2840.0,2840.0,2839.0,2810.0,2779.0,2720.0,2720.0,2732.0,2820.0,2820.0,2828.0,2799.0
3,2019.0,2860.0,2912.0,2920.0,2920.0,2924.0,2903.0,2902.0,2880.0,2796.0,2753.0,2725.0,2863.0,2863.0
4,2020.0,2844.0,2773.0,2792.0,2800.0,2800.0,2762.0,2776.0,2910.0,2932.0,3067.0,3338.0,3617.0,2950.0
5,2021.0,3633.0,3633.0,4152.0,4250.0,4250.0,4332.0,4400.0,0.0,0.0,0.0,0.0,0.0,4109.0
