,구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
0,2016.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,35200.0,35041.0,32905.0,28070.0,30400.0,30400.0,33590.0
1,2017.0,30035.0,29800.0,29800.0,29800.0,29800.0,29805.0,29962.0,30618.0,31710.0,34288.0,36241.0,37032.0,31517.0
2,2018.0,37733.0,39888.0,41366.0,42712.0,42570.0,42713.0,43756.0,44087.0,44525.0,45668.0,48041.0,47980.0,43417.0
3,2019.0,47807.0,47780.0,47798.0,47675.0,47580.0,47443.0,47380.0,47369.0,47001.0,44072.0,45262.0,45450.0,46878.0
4,2020.0,45600.0,45545.0,45557.0,45450.0,45414.0,46435.0,46676.0,47370.0,48813.0,50679.0,53688.0,54240.0,47960.0
5,2021.0,54545.0,55207.0,55849.0,56320.0,56432.0,56635.0,56772.0,0.0,0.0,0.0,0.0,0.0,55996.0
