,구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
0,2016.0,165700.0,168556.0,169000.0,169200.0,173000.0,176438.0,187533.0,186291.0,196242.0,205000.0,342173.0,421905.0,214911.0
1,2017.0,426800.0,437460.0,474864.0,513800.0,531421.0,548381.0,555143.0,577409.0,593905.0,525125.0,301709.0,305579.0,482715.0
2,2018.0,316455.0,316800.0,312600.0,312476.0,311900.0,300874.0,294336.0,302055.0,320459.0,338381.0,379373.0,427063.0,327379.0
3,2019.0,426909.0,424871.0,425800.0,426727.0,428000.0,427989.0,423643.0,420619.0,414484.0,408667.0,367905.0,323500.0,410035.0
4,2020.0,310000.0,307900.0,304918.0,305660.0,306474.0,314682.0,320809.0,323400.0,332676.0,349926.0,418133.0,444750.0,336804.0
5,2021.0,442750.0,439750.0,442341.0,444500.0,444500.0,452705.0,452409.0,0.0,0.0,0.0,0.0,0.0,445786.0
