,구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
0,2016.0,28360.0,31011.0,31991.0,31020.0,37150.0,24724.0,19229.0,21709.0,25168.0,25380.0,28827.0,32486.0,28030.0
1,2017.0,33370.0,35040.0,35127.0,33110.0,49074.0,31524.0,32486.0,39855.0,41276.0,42775.0,42236.0,47011.0,38396.0
2,2018.0,51391.0,55367.0,60990.0,107705.0,63540.0,29537.0,29618.0,43464.0,46624.0,44257.0,46573.0,46158.0,52185.0
3,2019.0,40273.0,33447.0,31660.0,52418.0,42957.0,24058.0,21352.0,21005.0,21605.0,20805.0,22481.0,22660.0,29696.0
4,2020.0,23428.0,22870.0,24250.0,45820.0,47279.0,28765.0,24743.0,32806.0,35413.0,34283.0,35830.0,32948.0,32143.0
5,2021.0,34449.0,35173.0,33477.0,29786.0,27994.0,23427.0,24756.0,0.0,0.0,0.0,0.0,0.0,29695.0
