,구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
0,2016.0,105000.0,105556.0,106000.0,108940.0,109400.0,109400.0,109400.0,112264.0,112400.0,112190.0,111000.0,111000.0,109414.0
1,2017.0,111200.0,111000.0,111000.0,111000.0,111000.0,110933.0,110800.0,110800.0,110800.0,110800.0,109800.0,110632.0,110807.0
2,2018.0,112000.0,111389.0,111000.0,111000.0,111060.0,111453.0,111509.0,110800.0,110800.0,114476.0,119018.0,121326.0,112999.0
3,2019.0,126373.0,126600.0,128680.0,136745.0,142829.0,144084.0,146400.0,144400.0,144463.0,144095.0,141943.0,142000.0,139198.0
4,2020.0,142000.0,142900.0,142136.0,133100.0,127368.0,127564.0,125400.0,125400.0,125600.0,128789.0,133390.0,135752.0,132428.0
5,2021.0,135600.0,135644.0,136700.0,136618.0,136253.0,136400.0,135855.0,0.0,0.0,0.0,0.0,0.0,136172.0
