,구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
0,2016.0,354300.0,354400.0,354400.0,351320.0,344000.0,344000.0,345333.0,351818.0,356000.0,358500.0,374545.0,378000.0,355676.0
1,2017.0,377350.0,378900.0,385000.0,385000.0,385684.0,392000.0,398476.0,402545.0,404000.0,406000.0,404545.0,404000.0,393560.0
2,2018.0,404000.0,404000.0,404000.0,404000.0,398400.0,391000.0,390727.0,389327.0,399271.0,400362.0,401155.0,403147.0,399043.0
3,2019.0,400655.0,400200.0,400200.0,400200.0,400200.0,400800.0,402609.0,400000.0,400768.0,393590.0,393286.0,398670.0,399260.0
4,2020.0,394570.0,395782.0,396107.0,412160.0,427989.0,433282.0,448096.0,463910.0,498295.0,542379.0,586057.0,637743.0,469686.0
5,2021.0,671350.0,726833.0,730182.0,741500.0,744974.0,768932.0,769148.0,0.0,0.0,0.0,0.0,0.0,737098.0
