,구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
0,2016.0,331900.0,332000.0,332000.0,328200.0,320000.0,320000.0,321333.0,327636.0,332000.0,334500.0,348909.0,352000.0,331805.0
1,2017.0,351350.0,352900.0,359000.0,359000.0,359684.0,366000.0,372476.0,376545.0,380095.0,384000.0,382545.0,382000.0,368679.0
2,2018.0,382000.0,382000.0,382000.0,382000.0,376400.0,369000.0,368727.0,367745.0,377659.0,380667.0,382318.0,383947.0,377810.0
3,2019.0,381455.0,381000.0,381000.0,381000.0,381000.0,381632.0,383609.0,381000.0,380632.0,373333.0,372333.0,375400.0,379455.0
4,2020.0,372700.0,373963.0,374416.0,382740.0,392516.0,401245.0,418443.0,432350.0,458714.0,508026.0,546369.0,585893.0,437277.0
5,2021.0,625000.0,681667.0,692500.0,698000.0,698000.0,698000.0,698000.0,0.0,0.0,0.0,0.0,0.0,685069.0
